,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
544,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
553,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
559,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
562,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
564,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
569,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
572,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
582,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
583,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
589,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
591,745000000,2.0,80,56,2200,1,1,0,9310000,3690000
595,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
596,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
597,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
614,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
615,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
616,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
617,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
618,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
619,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
620,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
621,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
623,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
624,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
625,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
626,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
627,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
628,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
629,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
630,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
631,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
632,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
638,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
639,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
640,689000000,2.0,60,50,2200,1,1,0,11480000,3410000
641,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
643,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
644,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
645,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
646,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
647,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
648,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
649,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
650,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
652,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
653,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
654,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
655,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
656,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
657,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
658,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
659,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
660,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
663,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
664,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
665,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
671,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
672,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
673,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
674,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
697,690000000,2.0,76,55,2200,1,1,0,9080000,3410000
699,695000000,2.0,76,55,2200,1,1,0,9140000,3440000
701,690000000,2.0,76,55,2200,1,1,0,9080000,3410000
702,690000000,2.0,76,55,2200,1,1,0,9080000,3410000
703,690000000,2.0,79,55,2200,1,1,0,8730000,3410000
704,690000000,2.0,76,55,2200,1,1,0,9080000,3410000
705,685000000,2.0,100,50,1300,1,1,0,6850000,3390000
706,675000000,2.0,100,48,1300,1,1,0,6750000,3340000
709,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
710,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
711,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
727,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
728,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
731,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
732,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
734,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
737,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
738,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
739,650000000,3.0,60,52,2200,1,1,0,10830000,3220000
741,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
747,290000000,2.0,27,60,1300,1,1,0,10740000,1430000
748,350000000,2.0,60,32,1300,1,1,0,5830000,1730000
749,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
750,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
751,150000000,2.0,60,27,1300,1,1,0,2510000,744590
753,650000000,3.0,60,52,2200,1,1,0,10830000,3220000
754,680000000,3.0,112,76,1300,0,0,0,6070000,3360000
755,450000000,2.0,96,47,1300,1,1,0,4690000,2230000
756,490000000,2.0,60,55,1300,0,1,0,8170000,2420000
757,580000000,3.0,60,61,2200,1,1,0,9670000,2870000
758,650000000,3.0,60,65,2200,1,2,0,10830000,3220000
759,158000000,2.0,60,42,1300,1,1,0,2630000,781700
